property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-avariiniedoma
title;Сведения о местах нахождения аварийных домов и жилых домов, признанных не пригодными для проживания
description;Сведения о местах нахождения аварийных домов и жилых домов, признанных не пригодными для проживания (адреса местонахождения аварийных домов и жилых домов, признанных непригодными для проживания), на территории Шарьинского района
creator;Администрация Шарьинского муниципального района Костромской области
created;20170605
modified;
subject;аварийное жилье
format;csv
provenance;
valid;
publishername;Лебедева Ирина Витальевна
publisherphone;+74944953408
publishermbox;i.lebedeva@admshmr.ru
data-20170605T1403-structure-20170605T1344;http://opendata.admshmr.ru/4430001003-avariiniedoma/data-20170605T1403-structure-20170605T1344.csv
structure-20170605T1344;http://opendata.admshmr.ru/4430001003-avariiniedoma/structure-20170605T1344.csv
