property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-jarmanki
title;Сведения о местах организации и проведения ярмарок
description;Сведения о местах организации и проведения ярмарок, организаторами которых являются органы местного самоуправления (наименование ярмарки, тип, периодичность, реквизиты правового акта об организации ярмарки, режим работы), на территории Шарьинского района
creator;Администрация Шарьинского муниципального района Костромской области
created;20170605
modified;
subject;ярмарка
format;csv
provenance;
valid;
publishername;Графова Варвара Николаевна
publisherphone;+74944953398
publishermbox;v.grafova@admshmr.ru
data-20170605T1537-structure-20170605T1344;http://opendata.admshmr.ru/4430001003-jarmanki/data-20170605T1537-structure-20170605T1344.csv
structure-20170605T1537;http://opendata.admshmr.ru/4430001003-jarmanki/structure-20170605T1344.csv
