property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-objectidorognogoservisa
title;Сведения о местах нахождения объектов дорожного сервиса, площадках отдыха водителей, стоянках (парковках) транспортных средств
description;Сведения о местах нахождения объектов дорожного сервиса, площадках отдыха водителей, стоянках (парковках) транспортных средств (наименование), на территории Шарьинского района
creator;Администрация Шарьинского муниципального района Костромской области
created;20170605
modified;20180329
subject;дорожный сервис
format;csv
provenance;Актуализация данных
valid;
publishername;Графова Варвара Николаевна
publisherphone;+74944953398
publishermbox;v.grafova@admshmr.ru
data-20180329T1349-structure-20170605T1344;http://opendata.admshmr.ru/4430001003-objectidorognogoservisa/data-20180329T1349-structure-20170605T1344.csv
structure-20170605T1344;http://opendata.admshmr.ru/4430001003-objectidorognogoservisa/structure-20170605T1344.csv
