№;Подразделение;Телефон
1;Комитет АПК;5-33-90
2;Общий сектор;5-89-81,факс 5-03-50
3;Комитет по финансам;5-89-87,5-89-82,5-89-36
4;Комитет по управлению муниципальнымимуществом и земельными ресурсами;5-34-08, 5-03-40
5;Комитет образования;5-17-33
6;Комитет по делам культуры,молодежи и спорта;5-87-49, 5-33-32
7;Юридический отдел;5-77-75
8;Сектор по делам архивов;5-25-49
9;Отдел по экономике и прогнозированию;5-33-98
10;Централизованная бухгалтерия;5-87-64
11;Отдел архитектуры, строительства и ЖКХ;5-33-91
