property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-perchenpodrazdelenia
title;Перечень подразделений администрации
description;Сведения, содержащие наименования и телефоны подразделений Шарьинского муниципального района Костромской области
creator;Администрация Шарьинского муниципального района Костромской области
created;20160623
modified;
subject;Подраззделение
format;csv
provenance;Нет данных
valid;20161231
publishername;
publisherphone;
publishermbox;sharya@adm44.ru
data-20160623T0918-structure-20160623T0943;http://opendata.admshmr.ru/4430001003-perchenpodrazdelenia/data-20160623T0918-structure-20160623T0943.csv
structure-20160623T0943;http://opendata.admshmr.ru/4430001003-perchenpodrazdelenia/structure-20160623T0943.csv
