property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-perechengkh
title;Перечень организаций и учреждений сферы ЖКХ
description;Сведения, содержащие наименования, адреса и телефоны учреждений  сферы ЖКХ Шарьинского муниципального района Костромской области
creator;Администрация Шарьинского муниципального района Костромской области
created;20160623
modified;
subject;Учреждения ЖКХ
format;csv
provenance;Нет данных
valid;20161231
publishername;Перевозчиков Николай Сергеевич
publisherphone;+74944953391
publishermbox;n.perevozchikov@admshmr.ru
data-20160623T0916-structure-20160623T0918;http://opendata.admshmr.ru/4430001003-perechengkh/data-20160623T0916-structure-20160623T0918.csv
structure-20160623T0918;http://opendata.admshmr.ru/4430001003-perechengkh/structure-20160623T0918.csv
