№ п/п;Наименование объекта;Координата Х;Координата У;Адрес;Общая площадь;Наименование ЮЛ
1;Здание школы;;;Шарьинский район, п. Зебляки, ул. Костромская, д. 31;2675,8;Зебляковская средняя школа
2;Здание школы;;;Шарьинский район, с. Одоевское, ул. Советская, д. 9;2039,5;Одоевская средняя школа
3;Здание детского сада;;;Шарьинский район, с. Одоевское, ул. Советская, д. 11;938;Одоевская средняя школа
4;Котельная;;;Шарьинский район, с. Одоевское, ул. Советская, д. 11;135,1;Одоевская средняя школа
5;Гараж на 3 машины;;;Шарьинский район, с. Одоевское, ул. Советская, д. 11;120;Одоевская средняя школа
6;Теплотрасса;;;Шарьинский район, с. Одоевское, ул. Советская, д. 11;;Одоевская средняя школа
7;Спортплощадка;;;Шарьинский район, с. Одоевское, ул. Советская, д. 11;;Одоевская средняя школа
8;Бассейн;;;Шарьинский район, с. Одоевское, ул. Советская, д. 9;;Одоевская средняя школа
9;Здание школы;;;Шарьинский район, с. Николо-Шанга, ул. Школьная, д. 18;2494,9;Николо-Шангская средняя школа
10;Здание пришкольного интерната;;;Шарьинский район, с. Николо-Шанга, ул. Школьная, д. 20;1182,6;Николо-Шангская средняя школа
11;Здание школы;;;Шарьинский район, д. Берзиха, ул. Центральная, д. 28а;1314,2;Берзихинская основная школа
12;Здание школы;;;Шарьинский район, д. Майтиха, ул. Молодежная, д. 4;720,5;Берзихинская основная школа
13;Котельная;;;Шарьинский район, д. Берзиха, ул. Центральная, д. 28а;50,4;Берзихинская основная школа
14;Здание школы;;;Шарьинский район, с. Заболотье, ул. Центральная, д. 16;893,6;Заболотская основная школа
15;Здание подсобного помещения;;;Шарьинский район, с. Заболотье, ул. Центральная, д. 16;18,1;Заболотская основная школа
16;Здание котельной;;;Шарьинский район, с. Заболотье, ул. Центральная, д. 16;71,7;Заболотская основная школа
17;Помещение артскважины;;;Шарьинский район, с. Заболотье, ул. Центральная, д. 16;4,8;Заболотская основная школа
18;Здание школы;;;Шарьинский район, с. Конево, д. 10;695,1;Коневская основная школа
19;Здание интерната;;;Шарьинский район, д. Конево, д. 7;416,8;Коневская основная школа
20;Здание детского сада;;;Шарьинский район, д. Конево, д. 12;341;Коневская основная школа
21;Здание школы;;;Шарьинский район, с. Троицкое, ул. Советская, д. 10;1870;Троицкая основная школа
22;Здание детского сада;;;Шарьинский район, с. Троицкое, ул. Советская, д. 26;464;Троицкая основная школа
23;Здание котельной;;;Шарьинский район, с. Троицкое, ул. Советская, д. 23;;Троицкая основная школа
24;Здание школы;;;Шарьинский район, п. Шекшема, ул. Вокзальная, д. 48;1918,7;Шекшемская средняя школа
25;Здание котельной;;;Шарьинский район, п. Шекшема, ул. Вокзальная, д. 48;157;Шекшемская средняя школа
26;Здание детского сада;;;Шарьинский район, п. Шекшема, ул. Мира, д. 34;325,6;Шекшемская средняя школа
27;Здание детского сада;;;Шарьинский район, п. Шекшема, ул. Мира, д. 34А;296,3;Шекшемская средняя школа
28;Здание кухни;;;Шарьинский район, п. Шекшема, ул. Мира, д. 34;29,4;Шекшемская средняя школа
29;Здание учебного корпуса;;;Шарьинский район, с. Рождественское, пер. Школьный, д. 3;2789,6;Ивановская средняя школа
30;Здание (котельная и гараж);;;Шарьинский район, с. Рождественское, пер. Школьный, д. 3;299,6;Ивановская средняя школа
31;Здание насосной;;;Шарьинский район, с. Рождественское, пер. Школьный, д. 3;17,2;Ивановская средняя школа
32;Здание школы;;;Шарьинский район, д. Поляшово, ул. Молодежная, д. 2;582;Ивановская средняя школа
33;Овощехранилище;;;Шарьинский район, д. Поляшово, ул. Молодежная, д. 2;;Ивановская средняя школа
34;Здание школы;;;Шарьинский район, д. Головино, ул. Центральная, д. 16;351,7;Николо-Шангская средняя школа
35;Здание школы;;;Шарьинский район, д. Сергеево, ул. Центральная, д. 6;691,1;Ивановская средняя школа
36;Здание мастерских;;;Шарьинский район, д. Сергеево, ул. Центральная, д. 6а;117,1;Ивановская средняя школа
37;Здание интерната;;;Шарьинский район, д. Сергеево,;;Ивановская средняя школа
38;Здание школы;;;Шарьинский район, с. Печенкино, ул. Школьная, д. 5;1350;Ивановская средняя школа
39;Здание котельной;;;Шарьинский район, с. Печенкино, ул. Школьная, д. 5;;Ивановская средняя школа
40;Здание основной школы;;;Шарьинский район, с. Печенкино, ул. Школьная, д. 5;1694,3;Ивановская средняя школа
41;Здание детского сада;;;Шарьинский район, п. Варакинский, ул. Центральная, д. 1;404,1;Шекшемская средняя школа
42;Котельная детского сада;;;Шарьинский район, п. Варакинский, ул. Центральная, д. 1а;44,5;Шекшемская средняя школа
43;Нежилое здание (пищеблок);;;Шарьинский район, п. Варакинский, ул. Центральная, д. 2;28;Шекшемская средняя школа
44;Теплотрасса детского сада;;;Шарьинский район, п. Варакинский, ул. Южная, д. 2а;Протяженность 155,4 п.м.;Шекшемская средняя школа
45;Здание школы;;;Шарьинский район, д. Пищевка, ул. Центральная, д. 42;958,8;Николо-Шангская средняя школа
46;Здание котельной;;;Шарьинский район, д. Пищевка, ул. Центральная, д. 48;160,1;Николо-Шангская средняя школа
47;Здание детского сада;;;Шарьинский район, с. Рождественское, ул. Коммунальная, д. 5;1311,8;Ивановский детский сад
