№ п/п;Наименование объекта;Координата X;Координата Y;Адрес;Индивидуальные особенности объекта;Наименование юр./физ. лица;Право владения, пользования, распоряжения 
1;Здание школы;;;Шарьинский район,п.Зебляки, ул.Костромская, д.31;3-х этажное,кирпичное,2675,8 кв.м.1964 г. постройкиинв. № 9091,кад. № 44-44-09/002/2011-473;Зебляковская средняя школа;оперативное управление
2;Здание школы;;;Шарьинский район, с.Одоевское, ул. Советская, д. 9;дата ввода в экспл.13.01.1984 г. кирпичное, 2-х этажное, пл. 2 039,5кв.м.Инв. № 11381,лит.А,а1,а2,а3,а4,а5,кад. № 44-44-09/002/2012-635;Одоевская средняя школа;оперативное управление
3;Здание детского сада;;;Шарьинский район, с.Одоевское, ул. Советская, д. 11;дата ввода в экспл. 01.01.1985 г.пл. 938 кв.м.инв. № 11384,кад. № 44-44-09/002/2012-642;Одоевская средняя школа;оперативное управление
4;Котельная;;;Шарьинский район, с.Одоевское, ул. Советская, д. 11;дата ввода в экспл. 13.05.1984 г.пл.135,1 кв.м.инв. № 11378,лит.А,а,а1,а2,кад. № 44-44-09/002/2012-636;Одоевская средняя школа;оперативное управление
5;Гараж на 3 машины;;;Шарьинский район, с.Одоевское, ул. Советская, д. 11;дата ввода в экспл. 12.03.1984 г.;Одоевская средняя школа;оперативное управление
6;Теплотрасса;;;Шарьинский район, с.Одоевское, ул. Советская, д. 11;дата ввода в экспл. 01.01.1984 г.;Одоевская средняя школа;оперативное управление
7;Спортплощадка;;;Шарьинский район, с.Одоевское, ул. Советская, д. 11;дата ввода в экспл. 13.04.1984 г.;Одоевская средняя школа;оперативное управление
8;Бассейн;;;Шарьинский район, с.Одоевское, ул. Советская, д. 9;дата ввода в экспл. 01.01.1992 г.;Одоевская средняя школа;Безвозмездное пользование ОГБУЗ «Шарьинская окружная больница»
9;Здание школы;;;Шарьинский район, с.Николо-Шанга, ул. Школьная, д. 18;Кирпичное,3-х этажное, пл.-2494,9кв.м.1963 г.;Николо-Шангская средняя школа;оперативное управление
10;Здание пришкольного интерната;;;Шарьинский район, с.Николо-Шанга, ул. Школьная, д. 20;дата ввода в экспл. 15.09.1975 г.кирпичное,2-х этажное,пл. 1182,6 кв.м.инв. № 15441, лит.А,а,а1,а2,кад. № 44-44-09/002/2012-556;Николо-Шангская средняя школа;оперативное управление
11;Здание школы;;;Шарьинский район, д. Берзиха,ул. Центральная, д. 28А;кирпичное, пл.1376 кв.м.1-этажное,пл. 1314,2 кв.минв. № 12804,лит.А,а,а1а2,а3,кад. № 44-44-09/002/2012-555;Берзихинская основная школа;оперативное управление
12;Здание школы;;;Шарьинский район, д. Майтиха,ул. Молодежная, д. 4;Кирпичное,1-этажное,S-720,5 кв.м.,инв.№ 12667,кад. № 44:24:0901016:186;Берзихинская основная школа;оперативное управление
13;Котельная;;;Шарьинский район, д. Берзиха,ул. Центральная, д. 28А;1-этажное, кирпичное, пл.50,4 кв.м.инв. № 12804,лит.Б,б,№1,кад. № 44-44-09/002/2012-554;Берзихинская основная школа;оперативное управление
14;Здание школы;;;Шарьинский район, с. Заболотье, ул. Центральная, д. 16;кирпичное, пл.893,6 кв.м.инв. № 15409, лит.А,а,а1,а2,а3кад. № 44-44-09/002/2012-416;Заболотская основная школа;оперативное управление
15;Здание подсобного помещения;;;Шарьинский район, с. Заболотье, ул. Центральная, д. 16;1-этажное,пл. 18,1 кв.м.,инв. № 15409,лит.Б,кад. № 44-44-09/002/2012-415;Заболотская основная школа;оперативное управление
16;Здание котельной;;;Шарьинский район, с. Заболотье, ул. Центральная, д. 16;дата ввода в экспл. 15.01.1969 г.,кирпичное, пл. 71.7 кв.м.,инв. № 15409,лит.В,в,в1,в2,в3кад.№ 44-44-09/002/2012-413;Заболотская основная школа;оперативное управление
17;Помещение артскважины;;;Шарьинский район, с. Заболотье, ул. Центральная, д. 16;1-этаж., пл. 4,8 кв.м.15409,лит.Г,г,3 1.кад. № 44-44-09/002/2012-414;Заболотская основная школа;оперативное управление
18;Здание школы;;;Шарьинский район, с. Конево, д. 10;дата ввода в экспл. 20.12.1954 г. ,2-х этажное,S-695,1 кв.м.,инв. № 12164,лит.Б,б,кад. № 44-44-09/018/2010-249;Коневская основная школа;оперативное управление
19;Здание интерната ;;;Шарьинский район, с. Конево, д. 7;дата ввода в экспл. 20.12.1965 г.пл.416,8 кв.м.инв. № 12171,лит.А,а,а1,а2,кад. № 44-44-09/018/2010-251;Коневская основная школа;оперативное управление
20;Здание детского сада;;;Шарьинский район, с. Конево, д. 12;1-этажное, нежилое,Общ.пл.341 кв.м.,1980 г.инв.№ 12184,лит.Б,б,б1,кад.3 44-44-09/018/2010-250;Коневская основная школа;оперативное управление
21;Здание школы;;;Шарьинский район, с. Троицкое, ул. Советская, д. 10;пл. 1870кв.м., дата ввода в экспл.13.01.1993 г,2-х этажное.,инв. № 11774, кад. № 44-44-09/005/2012-770;Троицкая основная школа;оперативное управление
