property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-perechennedvigimosti
title;Перечень объектов недвижимого имущества
description;Перечень объектов недвижимого имущества, находящегося в собственности Шарьинского муниципального района Костромской области
creator;Администрация Шарьинского муниципального района Костромской области
created;20180316
modified;
subject;недвижимое имущество
format;csv
provenance;
valid;
publishername;Лебедева Ирина Витальевна
publisherphone;+74944953408
publishermbox;i.lebedeva@admshmr.ru
data-20180316T0902-structure-20180316T08045;http://opendata.admshmr.ru/4430001003-perechennedvigimosti/data-20180316T0902-structure-20180316T08045.csv
structure-20180316T08045;http://opendata.admshmr.ru/4430001003-avariiniedoma/structure-20180316T08045.csv
