№ п/п;Наименование ОУ;Адрес месторасположения;Телефон
1;Муниципальное общеобразовательное учреждение Зебляковская средняя общеобразовательная школа ;157550 п. Зебляки ул. Костромская, д.31 ;(49449)13-11-19
2;Муниципальное общеобразовательное учреждение Ивановская средняя общеобразовательная школа;157541 с. Рождественское пер. Школьный, д.3;(49449)4-14-86
3;Муниципальное общеобразовательное учреждение Н-Шангская средняя общеобразовательная школа им. Ковалева А.А. ;157512 с. Н-Шанга ул. Школьная, д.18;(49449)2-14-42
4;Муниципальное общеобразовательное учреждение Одоевская средняя общеобразовательная школа ;157523 с. Одоевское ул. Советская д.9;(49449)4-51-84
5;Муниципальное общеобразовательное учреждение Шекшемская средняя общеобразовательная школа;157520 п. Шекшема ул. Вокзальная д.48;(49449)3-24-29
6;Муниципальное общеобразовательное учреждение Берзихинская основная общеобразовательная школа ;157529 д. Берзиха ул. Центральная д. 24;(49449)33-165
7;Муниципальное общеобразовательное учреждение Варакинская основная общеобразовательная школа ;157530пос. Варакинский ул. Центральная д.1;(49449)33-475
8;Муниципальное общеобразовательное учреждение Головинская основная общеобразовательная школа ;157516 д. Головино ул. Центральная д. 16;(49449)3-81-25
9;Муниципальное общеобразовательное учреждение Заболотская основная общеобразовательная школа ;157552 д. Заболотье ул. Центральная д.16;(49449)3-72-44
10;Муниципальное общеобразовательное учреждение Конёвская основная общеобразовательная школа ;157524 д. Конево, д.10;(49449)33-517
11;Муниципальное общеобразовательное учреждение Марутинская основная общеобразовательная школа ;157525 д. Сергеево ул. Центральная д. 6;(49449)4-07-48
12;Муниципальное общеобразовательное учреждение Печёнкинская основная общеобразовательная школа ;157528 с. Печёнкино ул. Школьная, д.5;(49449)4 -32 - 26
13;Муниципальное общеобразовательное учреждение Пищёвская основная общеобразовательная школа ;157514 д. Пишёвка ул. Центральная д. 27;(49449)3-03-81
14;Муниципальное общеобразовательное учреждение Поляшовская основная общеобразовательная школа ;157526 д. Поляшово ул. Молодёжная д. 2;(49449)4-44-33
15;Муниципальное общеобразовательное учреждение Троицкая основная общеобразовательная школа ;157522 с. Троицкое ул. Советская д. 10;(49449)4-64-61
16;Муниципальное дошкольное образовательное учреждение Зебляковский детский сад общеразвивающего вида II категории ;157550 п. Зебляки ул. Ленина д.6;(49449) 3-12-82
17;Муниципальное дошкольное образовательное учреждение Ивановский детский сад общеразвивающего вида II категории ;157541 с. Рождественское ул. Коммунальная, д.5 ;(49449)4-12-84
18;Муниципальное образовательное учреждение дополнительного образования детей Детско-юношеская спортивная школа «Русич» ;157541 с. Рождественское пер. Школьный, д.2 ;
19;Муниципальное образовательное учреждение дополнительного образования детей Районный дом детского творчества ;157541 с. Рождественское ул. Советская д.5;(49449)4-15-58
