property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-perechenobrazovanie
title;Перечень организаций и учреждений образования
description;Сведения, содержащие наименования, адреса и телефоны учреждений образования Шарьинского муниципального района Костромской области
creator;Администрация Шарьинского муниципального района Костромской области
created;20160622
modified;
subject;Учреждения образования, образование
format;csv
provenance;
valid;20161231
publishername;Белорукова Елена Николаевна
publisherphone;+74944951733
publishermbox;comobr2@mail.ru
data-20160622T0914-structure-20160622;http://opendata.admshmr.ru/4430001003-perechenobrazovanie/data-20160622T0914-structure-20160622.csv
structure-20160622;http://opendata.admshmr.ru/4430001003-perechenobrazovanie/structure-20160622.csv
