property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-mestoadministracii
title;Сведения о местах санкционированного размещения твердых коммунальных отходов
description;Сведения о местах санкционированного размещения твердых коммунальных отходов, полигонов бытовых отходов (вид отходов), на территории Шарьинского района
creator;Администрация Шарьинского муниципального района Костромской области
created;20170605
modified;
subject;отходы, полигоны
format;csv
provenance;
valid;
publishername;Перевозчиков Николай Сергеевич
publisherphone;+74944953391
publishermbox;n.perevozchikov@admshmr.ru
data-20170605T1531-structure-20170605T1344;http://opendata.admshmr.ru/4430001003-razmeschenietko/data-20170605T1531-structure-20170605T1344.csv
structure-20170605T1344;http://opendata.admshmr.ru/4430001003-razmeschenietko/structure-20170605T1344.csv
