property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-spasateli
title;Сведения о местах нахождения аварийно-спасательных служб и аварийно-спасательных формирований
description;Сведения о местах нахождения аварийно-спасательных служб и аварийно-спасательных формирований (наименование, режим работы), на территории Шарьинского района
creator;Администрация Шарьинского муниципального района Костромской области
created;20170605
modified;
subject;аварийные службы
format;csv
provenance;
valid;
publishername;Романова Наталья Владимировна
publisherphone;+74944958906
publishermbox;n.romanova@admshmr.ru
data-20170605T1601-structure-20170605T1344;http://opendata.admshmr.ru/4430001003-spasateli/data-20170605T1601-structure-20170605T1344.csv
structure-20170605T1344;http://opendata.admshmr.ru/4430001003-spasateli/structure-20170605T1344.csv
