property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;4430001003-stroireconstrukcia
title;Сведения о местах нахождения объектов, в отношении которых выданы разрешения на строительство или реконструкцию 
description;Сведения о местах нахождения объектов, в отношении которых выданы разрешения на строительство или реконструкцию (наименование), на территории Шарьинского района
creator;Администрация Шарьинского муниципального района Костромской области
created;20170605
modified;20170911
subject;строительство, реконструкция
format;csv
provenance;Актуализация данных
valid;
publishername;Перевозчиков Николай Сергеевич
publisherphone;+74944953391
publishermbox;n.perevozchikov@admshmr.ru
data-20170605T1510-structure-20170605T1344;http://opendata.admshmr.ru/4430001003-stroireconstrukcia/data-20170911T1228-structure-20170605T1344.csv
structure-20170605T1344;http://opendata.admshmr.ru/4430001003-stroireconstrukcia/structure-20170605T1344.csv
